Year;Ticker;Price;PriceFiscal;PDRNG;PDRO;PDRTotal;PNG;PO;TPRNG;TPRO;TPRTotal
2012;DVN;-0,175121731;-0,175121731;-0,098796267;0,056618894;0,055930367;-0,015340158;0,179708152;-0,104449663;0,123910795;0,123405808
2013;DVN;0,173022756;0,173022756;0,047077481;0,098917787;0,098710823;-0,071127344;0,137728181;-0,014717126;0,047715473;0,047596297
2014;DVN;-0,010724835;-0,010724835;-0,191609145;0,139400562;0,138303706;;;-0,191343655;0,066999648;0,066578366
2015;DVN;-0,648574672;-0,648574672;-0,201928327;0,067546042;0,066885125;;;-0,278058522;-0,132414698;-0,132608453
1989;EOG;;;;;;;;;;
1990;EOG;-0,17246926;-0,17246926;;;;;;;;
1991;EOG;-0,08594243;-0,08594243;;;;;;;;
1992;EOG;0,409729507;0,409729507;;;;;;;;
1993;EOG;0,283417674;0,283417674;;;;;;;;
1994;EOG;-0,732367894;-0,732367894;;;;;;;;
1995;EOG;0,246860078;0,246860078;;;;;;;;
1996;EOG;0,050772325;0,050772325;;;;;;;;
1997;EOG;-0,17543837;-0,17543837;;;;;;;;
1998;EOG;-0,205575643;-0,205575643;;;;;;;;
1999;EOG;0,017953804;0,017953804;;;;;;;;
2000;EOG;1,134725706;1,134725706;0,017171766;-0,034766765;-0,034406416;;;0,062651092;0,012281866;0,012656122
2001;EOG;-0,334113465;-0,334113465;0,246788565;0,100640175;0,101759763;;;0,116026381;-0,017425683;-0,016338747
2002;EOG;0,020499263;0,020499263;-0,522370231;-0,168194092;-0,170651529;;;-0,637837204;-0,12977167;-0,1332415
2003;EOG;0,145452785;0,145452785;0,61512209;0,381749705;0,383270257;;;0,839505929;0,407887657;0,410717302
2004;EOG;0,435407252;0,435407252;0,19886475;0,126333937;0,126882923;;;0,083045693;0,048118614;0,048405087
2005;EOG;0,027777644;0,027777644;0,057308292;0,091223547;0,09096192;;;0,096336366;0,060281481;0,060587798
2006;EOG;-0,161148896;-0,161148896;0,059515585;0,096059701;0,095787479;0,093792191;0,035104398;0,092321983;0,103946688;0,103846728
2007;EOG;0,357075184;0,357075184;0,202248918;0,367385224;0,366271122;0,094444355;0,148568997;0,090032562;0,420261718;0,41785435
2008;EOG;-0,293037189;-0,293037189;0,075118459;0,252291553;0,251283034;0,10637364;0,350736;0,095744927;0,226992625;0,22623468
2009;EOG;0,379394757;0,379394757;-0,180964482;0,143719277;0,142275033;0,021798782;-0,110977256;0,192607926;0,329960576;0,329266508
2010;EOG;-0,062444108;-0,062444108;-0,038592403;0,279497655;0,278470553;0,026557312;0,30394019;-0,04928365;0,209432086;0,208356522
2011;EOG;0,074803184;0,074803184;-0,070198549;0,259785321;0,25901378;-0,061197094;0,416545554;-0,075925946;0,293360722;0,292234716
2012;EOG;0,203895435;0,203895435;-0,332701321;0,258155959;0,257274748;-0,068058191;0,334056263;-0,50469653;0,303226541;0,301827757
2013;EOG;0,328957644;0,328957644;0,075574065;-0,147575427;-0,14730185;-0,102450234;0,331354918;0,062426365;0,250727625;0,250534363
2014;EOG;-0,600461987;-0,600461987;0,093486602;0,236005936;0,235824253;0,007732764;0,269960756;0,057354416;0,235657923;0,235505569
2015;EOG;-0,26283141;-0,26283141;-0,333269028;-0,106328596;-0,106569465;-0,062341976;-0,015780872;-0,333918692;-0,037730475;-0,037930606
1989;COG;;;;;;;;;;
1990;COG;;;;;;;;;;
1991;COG;-0,259219608;-0,391766264;;;;;;;;
1992;COG;0,377877152;0,377877152;;;;;;;;
1993;COG;0,167054085;0,167054085;;;;;;;;
1994;COG;-0,376308524;-0,376308524;;;;;;;;
1995;COG;0,008583744;0,008583744;;;;;;;;
1996;COG;0,157806991;0,157806991;;;;;;;;
