Year;Ticker;Price;PriceFiscal;PDRNG;PDRO;PDRTotal;PNG;PO;TPRNG;TPRO;TPRTotal
2011;APC;76,33;76,33;6113000;525000;526018,8333;852000000;78000;8365000;771000;772394,1667
2012;APC;74,31;74,31;6445000;526000;527074,1667;916000000;85000;8329000;767000;768388,1667
2013;APC;79,32;79,32;7120000;549000;550186,6667;965000000;90000;9205000;851000;852534,1667
2014;APC;82,5;82,5;6662000;542000;543110,3333;951000000;109000;8699000;929000;930449,8333
2015;APC;48,58;48,58;5214000;491000;491869;859000000;116000;6021000;713000;714003,5
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
1987;PXD;14,375;14,375;;;;;;;;
1988;PXD;11,875;11,875;;;;;;;;
1989;PXD;16;16;;;;;;;;
1990;PXD;15,75;15,75;;;;;;;;
1991;PXD;11,875;11,875;;;;;;;;
1992;PXD;13,75;13,75;;;;;;;;
1993;PXD;24,75;24,75;;;;;;;;
1994;PXD;20,5;20,5;;;;;;;;
1995;PXD;22;22;;;;;;;;
1996;PXD;36,75;36,75;;;;;;;;
1997;PXD;29;29;;;;;;;;
1998;PXD;8,75;8,75;;;;;;;;
1999;PXD;8,9375;8,9375;1538310;235165;235421,385;158457000;15454;1875713;292833;293145,6188
2000;PXD;19,6875;19,6875;1507826;232531;232782,3043;135843000;12535;1895528;312263;312578,9213
2001;PXD;19,26;19,26;1464324;227227;227471,054;127865000;12498;2077301;325159;325505,2168
2002;PXD;25,25;25,25;1560344;234170;234430,0573;131015000;11514;2135380;380844;381199,8967
2003;PXD;31,93;31,93;1641424;239627;239900,5707;212213000;12886;2197661;422781;423147,2768
2004;PXD;35,1;35,1;2473438;256434;256846,2397;250842000;17197;3680578;408791;409404,4297
2005;PXD;51,27;51,27;2257706;239203;239579,2843;244742000;16092;3346088;429042;429599,6813
2006;PXD;39,69;39,69;1931492;220666;220987,9153;120212000;8957;2927827;416971;417458,9712
2007;PXD;48,84;48,84;2037439;155178;155517,5732;117447000;9186;2964414;309988;310482,069
2008;PXD;16,18;16,18;1970447;134022;134350,4078;140113000;11209;2979759;308415;308911,6265
2009;PXD;48,17;48,17;1719722;144263;144549,6203;138683000;11634;2498801;325336;325752,4668
2010;PXD;86,82;86,82;1775611;172816;173111,9352;134271000;12303;2674522;380809;381254,7537
